file,model,chars,residual_per_1k,scope_per_1k,caution_per_1k
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画.txt,gpt52t,889,8.998875140607424,3.374578177727784,2.249718785151856
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画_B.txt,gpt35t,323,3.0959752321981426,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画_B.txt,gpt4om,676,5.9171597633136095,1.4792899408284024,1.4792899408284024
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画_B.txt,llama32:3b,778,2.5706940874035986,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画_B.txt,gem2:9b,997,6.018054162487462,1.0030090270812437,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画_B.txt,mist:7b,856,4.672897196261682,2.336448598130841,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画_B.txt,llama2:13b,520,9.615384615384617,1.9230769230769231,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画_anthropic.txt,sonnet46,1461,7.529089664613279,2.737850787132101,2.053388090349076
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画_anthropic.txt,sonnet46t,1188,13.468013468013467,0.0,0.8417508417508417
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画_anthropic.txt,opus46,1392,10.057471264367816,4.310344827586206,2.155172413793103
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画_anthropic.txt,opus46t,1623,9.24214417744917,1.8484288354898337,1.8484288354898337
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画_anthropic.txt,haiku45,2031,9.354997538158543,1.9694731659281144,1.4771048744460857
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM.txt,gpt51t,1103,13.599274705349048,1.813236627379873,9.972801450589301
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM.txt,gpt52p,1889,15.352038115404977,8.999470619375332,16.94017998941239
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM.txt,gpt52i,1170,14.52991452991453,4.273504273504274,11.11111111111111
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM.txt,gpt52t,960,12.5,4.166666666666667,13.541666666666668
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM_B.txt,gpt35t,439,0.0,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM_B.txt,gpt4om,680,1.4705882352941175,2.941176470588235,4.411764705882353
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM_B.txt,llama32:3b,723,0.0,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM_B.txt,gem2:9b,938,6.3965884861407245,2.1321961620469083,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM_B.txt,mist:7b,619,0.0,0.0,1.6155088852988693
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM_B.txt,llama2:13b,552,1.8115942028985508,0.0,5.434782608695652
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM_anthropic.txt,sonnet46,1571,7.638446849140674,1.9096117122851686,8.911521323997455
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM_anthropic.txt,sonnet46t,1394,15.064562410329986,0.0,11.477761836441895
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM_anthropic.txt,opus46,1596,15.037593984962406,3.132832080200501,14.411027568922306
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM_anthropic.txt,opus46t,1891,12.162876784769963,2.6441036488630356,9.518773135906928
../data/input/業務効率化タスク/gpt\GPTの回答比較_3PM_anthropic.txt,haiku45,2212,9.49367088607595,2.7124773960216997,9.041591320072333
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター.txt,gpt51t,1106,11.754068716094032,6.329113924050633,2.7124773960216997
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター.txt,gpt52p,1767,10.752688172043012,9.62082625919638,6.791171477079796
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター.txt,gpt52i,1144,5.244755244755245,2.6223776223776225,0.8741258741258742
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター.txt,gpt52t,900,11.11111111111111,4.444444444444445,3.3333333333333335
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター_B.txt,gpt35t,455,4.395604395604396,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター_B.txt,gpt4om,694,4.322766570605188,0.0,4.322766570605188
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター_B.txt,llama32:3b,499,6.012024048096192,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター_B.txt,gem2:9b,974,4.106776180698152,3.080082135523614,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター_B.txt,mist:7b,953,1.0493179433368311,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター_B.txt,llama2:13b,516,5.813953488372093,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター_anthropic.txt,sonnet46,1606,4.35865504358655,3.7359900373599007,0.6226650062266501
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター_anthropic.txt,sonnet46t,1450,8.275862068965518,3.4482758620689653,1.379310344827586
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター_anthropic.txt,opus46,1591,5.656819610307982,6.285355122564425,2.51414204902577
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター_anthropic.txt,opus46t,1862,4.296455424274973,4.296455424274973,2.1482277121374866
../data/input/業務効率化タスク/gpt\GPTの回答比較_4ライター_anthropic.txt,haiku45,2500,4.4,4.0,0.4
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業.txt,gpt51t,958,25.052192066805848,7.306889352818371,6.263048016701462
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業.txt,gpt52p,1728,20.25462962962963,6.944444444444444,4.050925925925926
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業.txt,gpt52i,868,19.585253456221196,4.608294930875576,1.152073732718894
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業.txt,gpt52t,828,18.115942028985508,2.4154589371980677,1.2077294685990339
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業_B.txt,gpt35t,339,2.949852507374631,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業_B.txt,gpt4om,603,3.316749585406302,1.658374792703151,1.658374792703151
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業_B.txt,llama32:3b,730,16.43835616438356,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業_B.txt,gem2:9b,987,3.0395136778115504,0.0,1.0131712259371835
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業_B.txt,mist:7b,790,2.5316455696202533,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業_B.txt,llama2:13b,471,8.492569002123142,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業_anthropic.txt,sonnet46,1430,16.083916083916083,2.097902097902098,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業_anthropic.txt,sonnet46t,1470,15.646258503401363,3.401360544217687,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業_anthropic.txt,opus46,1483,16.183412002697235,3.3715441672285906,1.3486176668914363
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業_anthropic.txt,opus46t,2130,13.615023474178404,3.2863849765258215,1.8779342723004695
../data/input/業務効率化タスク/gpt\GPTの回答比較_5営業_anthropic.txt,haiku45,1960,16.3265306122449,3.061224489795918,1.0204081632653061
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修.txt,gpt51t,1229,11.391375101708705,5.695687550854353,1.6273393002441008
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修.txt,gpt52p,2047,7.816316560820713,7.816316560820713,4.885197850512945
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修.txt,gpt52i,1158,5.181347150259067,4.317789291882556,1.7271157167530224
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修.txt,gpt52t,872,9.174311926605505,4.587155963302752,3.4403669724770642
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修_B.txt,gpt35t,323,0.0,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修_B.txt,gpt4om,571,0.0,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修_B.txt,llama32:3b,712,1.4044943820224718,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修_B.txt,gem2:9b,1032,1.937984496124031,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修_B.txt,mist:7b,1071,0.0,0.0,0.9337068160597572
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修_B.txt,llama2:13b,490,4.081632653061225,0.0,4.081632653061225
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修_anthropic.txt,sonnet46,1648,1.2135922330097086,5.461165048543689,1.2135922330097086
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修_anthropic.txt,sonnet46t,1647,8.500303582270794,3.0358227079538556,3.0358227079538556
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修_anthropic.txt,opus46,1733,4.039238315060588,7.501442585112521,2.885170225043278
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修_anthropic.txt,opus46t,2718,5.518763796909493,2.57542310522443,2.57542310522443
../data/input/業務効率化タスク/gpt\GPTの回答比較_6研修_anthropic.txt,haiku45,2195,4.555808656036446,8.200455580865604,0.4555808656036447
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT.txt,gpt51t,1207,26.512013256006625,5.799502899751451,10.770505385252692
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT.txt,gpt52p,1995,23.05764411027569,10.025062656641603,10.025062656641603
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT.txt,gpt52i,899,22.24694104560623,0.0,11.123470522803116
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT.txt,gpt52t,901,27.74694783573807,6.659267480577136,12.208657047724751
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT_B.txt,gpt35t,299,3.3444816053511706,3.3444816053511706,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT_B.txt,gpt4om,635,15.748031496062993,3.149606299212598,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT_B.txt,llama32:3b,655,3.0534351145038165,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT_B.txt,gem2:9b,1017,6.88298918387414,2.949852507374631,2.949852507374631
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT_B.txt,mist:7b,603,16.58374792703151,4.975124378109452,6.633499170812604
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT_B.txt,llama2:13b,504,7.936507936507936,3.968253968253968,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT_anthropic.txt,sonnet46,1941,17.51674394641937,4.121586810922206,5.667181865018033
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT_anthropic.txt,sonnet46t,1799,23.902167871039463,3.335186214563646,8.337965536409117
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT_anthropic.txt,opus46,2015,20.843672456575685,7.444168734491315,8.933002481389579
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT_anthropic.txt,opus46t,3343,21.53754113072091,5.982650314089142,8.674842955429256
../data/input/業務効率化タスク/gpt\GPTの回答比較_7.2ACT_anthropic.txt,haiku45,3283,13.70697532744441,4.568991775814804,3.655193420651843
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT.txt,gpt51t,1038,17.341040462427745,4.816955684007707,8.670520231213873
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT.txt,gpt52p,1528,19.63350785340314,0.6544502617801048,8.507853403141361
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT.txt,gpt52i,1083,22.1606648199446,3.693444136657433,7.386888273314866
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT.txt,gpt52t,887,25.93010146561443,7.891770011273957,12.401352874859075
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT_B.txt,gpt35t,455,10.989010989010989,0.0,2.197802197802198
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT_B.txt,gpt4om,669,17.937219730941703,0.0,2.9895366218236172
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT_B.txt,llama32:3b,729,4.11522633744856,0.0,2.743484224965706
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT_B.txt,gem2:9b,968,10.330578512396695,0.0,3.0991735537190084
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT_B.txt,mist:7b,765,14.37908496732026,0.0,2.6143790849673203
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT_B.txt,llama2:13b,460,13.043478260869565,0.0,4.3478260869565215
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT_anthropic.txt,sonnet46,1698,11.778563015312132,0.0,4.7114252061248525
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT_anthropic.txt,sonnet46t,1676,17.30310262529833,0.0,4.176610978520286
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT_anthropic.txt,opus46,1584,15.782828282828284,0.6313131313131314,5.050505050505051
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT_anthropic.txt,opus46t,2624,15.24390243902439,0.0,7.240853658536586
../data/input/業務効率化タスク/gpt\GPTの回答比較_7ACT_anthropic.txt,haiku45,2140,10.280373831775702,0.4672897196261682,2.803738317757009
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS.txt,gpt51t,1378,23.222060957910013,12.336719883889696,7.256894049346879
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS.txt,gpt52p,2080,18.26923076923077,11.538461538461538,8.173076923076923
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS.txt,gpt52i,1033,13.552758954501451,14.52081316553727,4.84027105517909
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS.txt,gpt52t,942,21.231422505307854,11.677282377919319,5.307855626326964
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS_B.txt,gpt35t,535,7.4766355140186915,9.345794392523365,1.8691588785046729
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS_B.txt,gpt4om,727,11.004126547455297,8.253094910591471,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS_B.txt,llama32:3b,853,5.861664712778429,2.3446658851113713,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS_B.txt,gem2:9b,758,9.234828496042217,9.234828496042217,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS_B.txt,mist:7b,444,0.0,0.0,2.2522522522522523
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS_B.txt,llama2:13b,273,14.652014652014651,10.989010989010989,10.989010989010989
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS_anthropic.txt,sonnet46,1883,16.99415825809878,9.028146574614976,5.310674455655868
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS_anthropic.txt,sonnet46t,1942,19.05252317198764,8.2389289392379,4.11946446961895
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS_anthropic.txt,opus46,2092,13.38432122370937,8.126195028680689,6.21414913957935
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS_anthropic.txt,opus46t,3604,14.983351831298556,8.879023307436182,5.2719200887902335
../data/input/業務効率化タスク/gpt\GPTの回答比較_8.2CS_anthropic.txt,haiku45,2192,13.686131386861314,8.211678832116789,3.1934306569343067
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS.txt,gpt51t,927,9.70873786407767,2.157497303128371,4.314994606256742
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS.txt,gpt52p,1364,10.997067448680353,0.7331378299120235,6.5982404692082115
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS.txt,gpt52i,963,8.307372793354102,2.0768431983385254,3.115264797507788
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS.txt,gpt52t,803,9.962640099626402,1.2453300124533002,6.226650062266501
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS_B.txt,gpt35t,425,2.352941176470588,0.0,2.352941176470588
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS_B.txt,gpt4om,660,9.09090909090909,0.0,1.5151515151515151
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS_B.txt,llama32:3b,720,2.7777777777777777,1.3888888888888888,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS_B.txt,gem2:9b,959,7.299270072992701,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS_B.txt,mist:7b,755,3.9735099337748343,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS_B.txt,llama2:13b,533,7.5046904315197,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS_anthropic.txt,sonnet46,1761,6.2464508801817145,0.0,1.7035775127768313
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS_anthropic.txt,sonnet46t,1805,9.418282548476453,0.0,2.770083102493075
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS_anthropic.txt,opus46,1696,12.382075471698114,1.1792452830188678,2.3584905660377355
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS_anthropic.txt,opus46t,2929,11.266643905769888,3.414134516899966,3.7555479685899624
../data/input/業務効率化タスク/gpt\GPTの回答比較_8CS_anthropic.txt,haiku45,2065,8.716707021791766,0.48426150121065376,0.48426150121065376
