model,occupation_id,occupation_name,time_weight_summary,time_weight_instruction,time_weight_presentation,est_human_time_summary,est_ai_time_summary,est_reduction_summary,est_human_time_instruction,est_ai_time_instruction,est_reduction_instruction,est_human_time_presentation,est_ai_time_presentation,est_reduction_presentation,est_reduction_timeweighted,label_source,true_reduction,ae,re
gpt52P,5,営業アシスタント／秘書,0.3,0.5,0.2,4,1.5,0.625,10,5,0.5,8,4,0.5,0.525,BM,0.5735,-0.0485,-0.084568439
gpt52P,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,6,2,0.666666667,18,10,0.444444444,16,8,0.5,0.511111111,BM,0.665,-0.153888889,-0.231411863
gpt52P,7,財務・経理系,0.45,0.35,0.2,6,2.5,0.583333333,6,3,0.5,3,1.5,0.5,0.516666667,BM,0.8,-0.283333333,-0.354166667
gpt52P,7.2,財務・経理系,0.21,0.43,0.36,8,3,0.625,18,10,0.444444444,14,7,0.5,0.502777778,BM,0.61635,-0.113572222,-0.184265794
gpt52P,8,カスタマーサポート系,0.4,0.45,0.15,12,7,0.416666667,10,4,0.6,6,3,0.5,0.523333333,BM,0.68,-0.156666667,-0.230392157
gpt52P,8.2,カスタマーサポート系,0.22,0.44,0.35,7,3,0.571428571,16,8,0.5,12,6,0.5,0.514285714,BM,0.498415,0.015870714,0.031842369
gpt52I,1,経営コンサルタント,0.2,0.4,0.4,120,15,0.875,180,40,0.777777778,240,60,0.75,0.786111111,BM,0.542333333,0.243777778,0.449498054
gpt52I,2,事業企画（企画職）,0.15,0.35,0.5,150,20,0.866666667,180,45,0.75,240,60,0.75,0.773333333,BM,0.519833333,0.2535,0.4876563
gpt52I,2.2,マーケティング担当,0.25,0.2,0.55,120,20,0.833333333,150,40,0.733333333,180,50,0.722222222,0.748888889,BM,0.547333333,0.201555556,0.368250102
gpt52I,3,プロジェクトマネージャー,0.1,0.6,0.3,120,20,0.833333333,210,60,0.714285714,180,50,0.722222222,0.741269841,BM,0.546666667,0.194603175,0.355981417
gpt52I,4,編集者／ライター,0.6,0.2,0.2,180,25,0.861111111,150,40,0.733333333,150,40,0.733333333,0.758888889,BM,0.612,0.146888889,0.240014524
gpt52I,5,営業アシスタント／秘書,0.3,0.5,0.2,90,15,0.833333333,120,30,0.75,120,30,0.75,0.766666667,BM,0.5735,0.193166667,0.336820692
gpt52I,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,150,25,0.833333333,210,60,0.714285714,240,60,0.75,0.752380952,BM,0.665,0.087380952,0.131399928
gpt52I,7,財務・経理系,0.45,0.35,0.2,180,30,0.833333333,240,70,0.708333333,210,60,0.714285714,0.735714286,BM,0.8,-0.064285714,-0.080357143
gpt52I,7.2,財務・経理系,0.21,0.43,0.36,3,0.3,0.9,4,0.5,0.875,5,1,0.8,0.85,BM,0.61635,0.23365,0.379086558
gpt52I,8,カスタマーサポート系,0.4,0.45,0.15,15,3,0.8,10,2,0.8,10,2,0.8,0.8,BM,0.68,0.12,0.176470588
gpt52I,8.2,カスタマーサポート系,0.22,0.44,0.35,20,3,0.85,180,50,0.722222222,120,35,0.708333333,0.742222222,BM,0.498415,0.243807222,0.489165098
gpt52T,1,経営コンサルタント,0.2,0.4,0.4,120,15,0.875,180,40,0.777777778,240,60,0.75,0.786111111,BM,0.542333333,0.243777778,0.449498054
gpt52T,2,事業企画（企画職）,0.15,0.35,0.5,150,20,0.866666667,180,45,0.75,240,60,0.75,0.773333333,BM,0.519833333,0.2535,0.4876563
gpt52T,2.2,マーケティング担当,0.25,0.2,0.55,120,20,0.833333333,150,40,0.733333333,180,50,0.722222222,0.748888889,BM,0.547333333,0.201555556,0.368250102
gpt52T,3,プロジェクトマネージャー,0.1,0.6,0.3,120,20,0.833333333,210,60,0.714285714,180,50,0.722222222,0.741269841,BM,0.546666667,0.194603175,0.355981417
gpt52T,4,編集者／ライター,0.6,0.2,0.2,180,25,0.861111111,150,40,0.733333333,150,40,0.733333333,0.758888889,BM,0.612,0.146888889,0.240014524
gpt52T,5,営業アシスタント／秘書,0.3,0.5,0.2,90,15,0.833333333,120,30,0.75,120,30,0.75,0.766666667,BM,0.5735,0.193166667,0.336820692
gpt52T,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,150,25,0.833333333,210,60,0.714285714,240,60,0.75,0.752380952,BM,0.665,0.087380952,0.131399928
gpt52T,7,財務・経理系,0.45,0.35,0.2,180,30,0.833333333,240,70,0.708333333,210,60,0.714285714,0.735714286,BM,0.8,-0.064285714,-0.080357143
gpt52T,7.2,財務・経理系,0.21,0.43,0.36,180,30,0.833333333,240,70,0.708333333,210,60,0.714285714,0.735714286,BM,0.61635,0.119364286,0.193663155
gpt52T,8,カスタマーサポート系,0.4,0.45,0.15,15,3,0.8,10,2,0.8,10,2,0.8,0.8,BM,0.68,0.12,0.176470588
gpt52T,8.2,カスタマーサポート系,0.22,0.44,0.35,20,3,0.85,180,50,0.722222222,120,35,0.708333333,0.742222222,BM,0.498415,0.243807222,0.489165098
sonnet46,1,経営コンサルタント,0.2,0.4,0.4,4,0.5,0.875,12,2,0.833333333,15,3,0.8,0.828333333,BM,0.542333333,0.286,0.527350953
sonnet46,2,事業企画（企画職）,0.15,0.35,0.5,3.5,0.416666667,0.880952381,10,1.5,0.85,12,2.5,0.791666667,0.832857143,BM,0.519833333,0.31302381,0.602161865
sonnet46,2.2,マーケティング担当,0.25,0.2,0.55,3,0.333,0.889,8,1.5,0.8125,8,2,0.75,0.8028,BM,0.547333333,0.255466667,0.466747868
sonnet46,3,プロジェクトマネージャー,0.1,0.6,0.3,3,0.333,0.889,16,3,0.8125,10,2,0.8,0.8228,BM,0.546666667,0.276133333,0.505121951
sonnet46,4,編集者／ライター,0.6,0.2,0.2,3.5,0.333,0.904857143,6,1,0.833333333,6,1.5,0.75,0.814304762,BM,0.612,0.202304762,0.330563336
sonnet46,5,営業アシスタント／秘書,0.3,0.5,0.2,2,0.166666667,0.916666667,4,0.666666667,0.833333333,5,1,0.8,0.836666667,BM,0.5735,0.263166667,0.458878233
sonnet46,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,3,0.333333333,0.888888889,10,1.5,0.85,12,2.5,0.791666667,0.834444444,BM,0.665,0.169444444,0.254803676
sonnet46,7,財務・経理系,0.45,0.35,0.2,3,0.333333333,0.888888889,2.5,0.25,0.9,1.5,0.75,0.5,0.737777778,BM,0.8,-0.062222222,-0.077777778
sonnet46,7.2,財務・経理系,0.21,0.43,0.36,4.5,0.583333333,0.87037037,14,2.5,0.821428571,10,2,0.8,0.822645503,BM,0.61635,0.206295503,0.334705123
sonnet46,8,カスタマーサポート系,0.4,0.45,0.15,15,5,0.666666667,12,4,0.666666667,1,0.333,0.667,0.6668,BM,0.68,-0.0132,-0.019411765
sonnet46,8.2,カスタマーサポート系,0.22,0.44,0.35,2.5,0.333,0.8668,8,1.5,0.8125,8,1.5,0.8125,0.82336,BM,0.498415,0.324945,0.651956703
sonnet46T,1,経営コンサルタント,0.2,0.4,0.4,4.5,0.366666667,0.918518519,12,1.5,0.875,20,3,0.85,0.873703704,BM,0.542333333,0.33137037,0.611008673
sonnet46T,2,事業企画（企画職）,0.15,0.35,0.5,4,0.333,0.91675,10,1.5,0.85,16,2.5,0.84375,0.86085,BM,0.519833333,0.341016667,0.656011542
sonnet46T,2.2,マーケティング担当,0.25,0.2,0.55,3,0.25,0.916666667,8,1,0.875,12,2,0.833333333,0.866666667,BM,0.547333333,0.319333333,0.583434836
sonnet46T,3,プロジェクトマネージャー,0.1,0.6,0.3,4,0.333,0.91675,16,2,0.875,14,2,0.857142857,0.876207143,BM,0.546666667,0.329540476,0.602817944
sonnet46T,4,編集者／ライター,0.6,0.2,0.2,4,0.333,0.91675,7,0.75,0.892857143,8,1.5,0.8125,0.865492857,BM,0.612,0.253492857,0.414204015
sonnet46T,5,営業アシスタント／秘書,0.3,0.5,0.2,2.5,0.166666667,0.933333333,6,0.75,0.875,8,1.5,0.8125,0.861666667,BM,0.5735,0.288166667,0.502470212
sonnet46T,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,3.5,0.25,0.928571429,10,1.5,0.85,12,2,0.833333333,0.859047619,BM,0.665,0.194047619,0.291800931
sonnet46T,7,財務・経理系,0.45,0.35,0.2,3,0.25,0.916666667,40,0.333,0.991675,3,1,0.666666667,0.84667,BM,0.8,0.04667,0.0583375
sonnet46T,7.2,財務・経理系,0.21,0.43,0.36,5,0.416666667,0.916666667,14,2,0.857142857,12,2.5,0.791666667,0.842857143,BM,0.61635,0.226507143,0.367497595
sonnet46T,8,カスタマーサポート系,0.4,0.45,0.15,20,5,0.75,15,4,0.733333333,30,8,0.733333333,0.736666667,BM,0.68,0.056666667,0.083333333
sonnet46T,8.2,カスタマーサポート系,0.22,0.44,0.35,4,0.333,0.91675,12,1.5,0.875,10,2,0.8,0.85335,BM,0.498415,0.354935,0.712127444
opus46,1,経営コンサルタント,0.2,0.4,0.4,4,0.75,0.8125,7,2,0.714285714,10,3,0.7,0.728214286,BM,0.542333333,0.185880952,0.342742998
opus46,2,事業企画（企画職）,0.15,0.35,0.5,3.5,0.667,0.809428571,6,1.5,0.75,8,2.5,0.6875,0.736885714,BM,0.519833333,0.217052381,0.417542253
opus46,2.2,マーケティング担当,0.25,0.2,0.55,3,0.583333333,0.805555556,5,1.5,0.7,6,2,0.666666667,0.707777778,BM,0.547333333,0.160444444,0.293138449
opus46,3,プロジェクトマネージャー,0.1,0.6,0.3,3.5,0.667,0.809428571,8,2.5,0.6875,6,2,0.666666667,0.703552381,BM,0.546666667,0.156885714,0.286986063
opus46,4,編集者／ライター,0.6,0.2,0.2,4,0.75,0.8125,5,1.5,0.7,4.5,1.5,0.666666667,0.709166667,BM,0.612,0.097166667,0.158769063
opus46,5,営業アシスタント／秘書,0.3,0.5,0.2,2,0.416666667,0.791666667,3.5,0.833333333,0.761904762,4,1,0.75,0.763095238,BM,0.5735,0.189595238,0.330593266
opus46,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,3.5,0.667,0.809428571,6,2,0.666666667,8,2.5,0.6875,0.703552381,BM,0.665,0.038552381,0.057973505
opus46,7,財務・経理系,0.45,0.35,0.2,3,0.5,0.833333333,4,1,0.75,9,3,0.666666667,0.733333333,BM,0.8,-0.066666667,-0.083333333
opus46,7.2,財務・経理系,0.21,0.43,0.36,4,1,0.75,7,2.5,0.642857143,8,2.5,0.6875,0.682142857,BM,0.61635,0.065792857,0.106745935
opus46,8,カスタマーサポート系,0.4,0.45,0.15,15,5,0.666666667,12,4,0.666666667,1,0.25,0.75,0.7,BM,0.68,0.02,0.029411765
opus46,8.2,カスタマーサポート系,0.22,0.44,0.35,45,12,0.733333333,8,2.5,0.6875,6,2,0.666666667,0.688333333,BM,0.498415,0.189918333,0.381044578
opus46T,1,経営コンサルタント,0.2,0.4,0.4,4,0.5,0.875,8,2,0.75,10,3,0.7,0.755,BM,0.542333333,0.212666667,0.39213276
opus46T,2,事業企画（企画職）,0.15,0.35,0.5,3.5,0.416666667,0.880952381,7,1.5,0.785714286,9,2.5,0.722222222,0.779365079,BM,0.519833333,0.259531746,0.499259531
opus46T,2.2,マーケティング担当,0.25,0.2,0.55,2.5,0.333,0.8668,5,1,0.8,6,1.5,0.75,0.79336,BM,0.547333333,0.246026667,0.449500609
opus46T,3,プロジェクトマネージャー,0.1,0.6,0.3,3.5,0.416666667,0.880952381,12,3,0.75,7,2,0.714285714,0.761904762,BM,0.546666667,0.215238095,0.393728223
opus46T,4,編集者／ライター,0.6,0.2,0.2,4,0.5,0.875,5,1,0.8,5,1.5,0.7,0.775,BM,0.612,0.163,0.266339869
opus46T,5,営業アシスタント／秘書,0.3,0.5,0.2,2,0.25,0.875,3.5,0.667,0.809428571,4,1,0.75,0.798771429,BM,0.5735,0.225271429,0.392801096
opus46T,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,3.5,0.5,0.857142857,8,2,0.75,10,3,0.7,0.751428571,BM,0.665,0.086428571,0.129967777
opus46T,7,財務・経理系,0.45,0.35,0.2,3,0.5,0.833333333,5,1,0.8,8,3,0.625,0.736666667,BM,0.8,-0.063333333,-0.079166667
opus46T,7.2,財務・経理系,0.21,0.43,0.36,5,1.5,0.7,10,2.5,0.75,8,2.5,0.6875,0.715,BM,0.61635,0.09865,0.160055163
opus46T,8,カスタマーサポート系,0.4,0.45,0.15,10,4,0.6,8,3,0.625,3,1,0.666666667,0.636666667,BM,0.68,-0.043333333,-0.06372549
opus46T,8.2,カスタマーサポート系,0.22,0.44,0.35,3,0.5,0.833333333,8,2,0.75,7,2,0.714285714,0.752380952,BM,0.498415,0.253965952,0.509547169
haiku45,1,経営コンサルタント,0.2,0.4,0.4,5,0.3,0.94,8,0.633333333,0.920833333,6.5,0.5,0.923076923,0.925564103,BM,0.542333333,0.383230769,0.706633256
haiku45,2,事業企画（企画職）,0.15,0.35,0.5,5,0.3,0.94,8.5,0.7,0.917647059,6.5,0.55,0.915384615,0.92121267,BM,0.519833333,0.401379336,0.772130817
haiku45,2.2,マーケティング担当,0.25,0.2,0.55,4.25,0.25,0.941176471,6.75,0.5,0.925925926,5.75,0.45,0.92173913,0.927301317,BM,0.547333333,0.379967983,0.694216778
haiku45,3,プロジェクトマネージャー,0.1,0.6,0.3,4.25,0.283333333,0.933333333,10,0.916666667,0.908333333,6.5,0.566666667,0.912820513,0.915128205,BM,0.546666667,0.368461538,0.674015009
haiku45,4,編集者／ライター,0.6,0.2,0.2,5.5,0.316666667,0.942424242,7.5,0.666666667,0.911111111,5,0.483333333,0.903333333,0.914262626,BM,0.612,0.302262626,0.49389318
haiku45,5,営業アシスタント／秘書,0.3,0.5,0.2,2.75,0.166666667,0.939393939,5,0.416666667,0.916666667,4.5,0.333333333,0.925925926,0.924915825,BM,0.5735,0.351415825,0.612756451
haiku45,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,5,0.3,0.94,10,0.833333333,0.916666667,7.5,0.6,0.92,0.922666667,BM,0.665,0.257666667,0.387468672
haiku45,7,財務・経理系,0.45,0.35,0.2,4.5,0.166666667,0.962962963,5.25,0.416666667,0.920634921,2.75,0.108333333,0.960606061,0.945088985,BM,0.8,0.145088985,0.181361231
haiku45,7.2,財務・経理系,0.21,0.43,0.36,6.25,0.366666667,0.941333333,10,0.916666667,0.908333333,7.5,0.666666667,0.911111111,0.916044444,BM,0.61635,0.299694444,0.486240682
haiku45,8,カスタマーサポート系,0.4,0.45,0.15,2.25,0.075,0.966666667,2.75,0.125,0.954545455,1,0.05,0.95,0.955151515,BM,0.68,0.275151515,0.404634581
haiku45,8.2,カスタマーサポート系,0.22,0.44,0.35,5.5,0.366666667,0.933333333,8.5,0.8,0.905882353,6.75,0.65,0.903703704,0.910501089,BM,0.498415,0.412086089,0.826793113
gpt51T,1,経営コンサルタント,0.2,0.4,0.4,8,2,0.75,10,4,0.6,16,8,0.5,0.59,ref4,0.835,-0.245,-0.293413174
gpt51T,2,事業企画（企画職）,0.15,0.35,0.5,6,1.5,0.75,8,3,0.625,12,6,0.5,0.6,ref4,0.8,-0.2,-0.25
gpt51T,2.2,マーケティング担当,0.25,0.2,0.55,6,1.5,0.75,8,2.5,0.6875,11,3.5,0.681818182,0.697727273,ref4,0.87,-0.172272727,-0.198014629
gpt51T,3,プロジェクトマネージャー,0.1,0.6,0.3,6,1.5,0.75,14,6,0.571428571,10,5,0.5,0.578571429,ref4,0.85,-0.271428571,-0.319327731
gpt51T,4,編集者／ライター,0.6,0.2,0.2,7,2,0.714285714,9,3.5,0.611111111,8,4,0.5,0.587301587,ref4,0.91,-0.322698413,-0.35461364
gpt51T,5,営業アシスタント／秘書,0.3,0.5,0.2,4,1,0.75,7,2.5,0.642857143,9,4.5,0.5,0.607142857,ref4,0.66,-0.052857143,-0.08008658
gpt51T,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,7,2,0.714285714,12,5,0.583333333,14,7,0.5,0.576190476,ref4,0.95,-0.373809524,-0.393483709
gpt51T,7,財務・経理系,0.45,0.35,0.2,6,2,0.666666667,12,5,0.583333333,10,5,0.5,0.566666667,ref4,0.8,-0.233333333,-0.291666667
gpt51T,7.2,財務・経理系,0.21,0.43,0.36,6,2,0.666666667,12,5,0.583333333,10,5,0.5,0.566666667,ref4,0.8,-0.233333333,-0.291666667
gpt51T,8,カスタマーサポート系,0.4,0.45,0.15,30,12,0.6,25,10,0.6,20,6,0.7,0.64,ref4,0.56,0.08,0.142857143
gpt51T,8.2,カスタマーサポート系,0.22,0.44,0.35,5,1.5,0.7,10,4,0.6,8,3.5,0.5625,0.605,ref4,0.56,0.045,0.080357143
gpt52P,1,経営コンサルタント,0.2,0.4,0.4,7,2,0.714285714,20,11,0.45,14,7,0.5,0.522857143,ref4,0.835,-0.312142857,-0.373823781
gpt52P,2,事業企画（企画職）,0.15,0.35,0.5,6,2,0.666666667,18,10,0.444444444,12,6,0.5,0.511111111,ref4,0.8,-0.288888889,-0.361111111
gpt52P,2.2,マーケティング担当,0.25,0.2,0.55,5,1.5,0.7,14,8,0.428571429,10,5,0.5,0.511428571,ref4,0.87,-0.358571429,-0.412151067
gpt52P,3,プロジェクトマネージャー,0.1,0.6,0.3,6,2,0.666666667,22,12,0.454545455,10,5,0.5,0.515151515,ref4,0.85,-0.334848485,-0.393939394
gpt52P,4,編集者／ライター,0.6,0.2,0.2,6,2,0.666666667,14,8,0.428571429,10,5,0.5,0.504761905,ref4,0.91,-0.405238095,-0.445316588
gpt52P,5,営業アシスタント／秘書,0.3,0.5,0.2,4,1.5,0.625,10,5,0.5,8,4,0.5,0.525,ref4,0.66,-0.135,-0.204545455
gpt52P,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,6,2,0.666666667,18,10,0.444444444,16,8,0.5,0.511111111,ref4,0.95,-0.438888889,-0.461988304
gpt52P,7,財務・経理系,0.45,0.35,0.2,6,2.5,0.583333333,6,3,0.5,3,1.5,0.5,0.516666667,ref4,0.8,-0.283333333,-0.354166667
gpt52P,7.2,財務・経理系,0.21,0.43,0.36,8,3,0.625,18,10,0.444444444,14,7,0.5,0.502777778,ref4,0.8,-0.297222222,-0.371527778
gpt52P,8,カスタマーサポート系,0.4,0.45,0.15,12,7,0.416666667,10,4,0.6,6,3,0.5,0.523333333,ref4,0.56,-0.036666667,-0.06547619
gpt52P,8.2,カスタマーサポート系,0.22,0.44,0.35,7,3,0.571428571,16,8,0.5,12,6,0.5,0.514285714,ref4,0.56,-0.045714286,-0.081632653
gpt52I,1,経営コンサルタント,0.2,0.4,0.4,120,15,0.875,180,40,0.777777778,240,60,0.75,0.786111111,ref4,0.835,-0.048888889,-0.058549568
gpt52I,2,事業企画（企画職）,0.15,0.35,0.5,150,20,0.866666667,180,45,0.75,240,60,0.75,0.773333333,ref4,0.8,-0.026666667,-0.033333333
gpt52I,2.2,マーケティング担当,0.25,0.2,0.55,120,20,0.833333333,150,40,0.733333333,180,50,0.722222222,0.748888889,ref4,0.87,-0.121111111,-0.139208174
gpt52I,3,プロジェクトマネージャー,0.1,0.6,0.3,120,20,0.833333333,210,60,0.714285714,180,50,0.722222222,0.741269841,ref4,0.85,-0.108730159,-0.127917834
gpt52I,4,編集者／ライター,0.6,0.2,0.2,180,25,0.861111111,150,40,0.733333333,150,40,0.733333333,0.758888889,ref4,0.91,-0.151111111,-0.166056166
gpt52I,5,営業アシスタント／秘書,0.3,0.5,0.2,90,15,0.833333333,120,30,0.75,120,30,0.75,0.766666667,ref4,0.66,0.106666667,0.161616162
gpt52I,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,150,25,0.833333333,210,60,0.714285714,240,60,0.75,0.752380952,ref4,0.95,-0.197619048,-0.20802005
gpt52I,7,財務・経理系,0.45,0.35,0.2,180,30,0.833333333,240,70,0.708333333,210,60,0.714285714,0.735714286,ref4,0.8,-0.064285714,-0.080357143
gpt52I,7.2,財務・経理系,0.21,0.43,0.36,3,0.3,0.9,4,0.5,0.875,5,1,0.8,0.85,ref4,0.8,0.05,0.0625
gpt52I,8,カスタマーサポート系,0.4,0.45,0.15,15,3,0.8,10,2,0.8,10,2,0.8,0.8,ref4,0.56,0.24,0.428571429
gpt52I,8.2,カスタマーサポート系,0.22,0.44,0.35,20,3,0.85,180,50,0.722222222,120,35,0.708333333,0.742222222,ref4,0.56,0.182222222,0.325396825
gpt52T,1,経営コンサルタント,0.2,0.4,0.4,120,15,0.875,180,40,0.777777778,240,60,0.75,0.786111111,ref4,0.835,-0.048888889,-0.058549568
gpt52T,2,事業企画（企画職）,0.15,0.35,0.5,150,20,0.866666667,180,45,0.75,240,60,0.75,0.773333333,ref4,0.8,-0.026666667,-0.033333333
gpt52T,2.2,マーケティング担当,0.25,0.2,0.55,120,20,0.833333333,150,40,0.733333333,180,50,0.722222222,0.748888889,ref4,0.87,-0.121111111,-0.139208174
gpt52T,3,プロジェクトマネージャー,0.1,0.6,0.3,120,20,0.833333333,210,60,0.714285714,180,50,0.722222222,0.741269841,ref4,0.85,-0.108730159,-0.127917834
gpt52T,4,編集者／ライター,0.6,0.2,0.2,180,25,0.861111111,150,40,0.733333333,150,40,0.733333333,0.758888889,ref4,0.91,-0.151111111,-0.166056166
gpt52T,5,営業アシスタント／秘書,0.3,0.5,0.2,90,15,0.833333333,120,30,0.75,120,30,0.75,0.766666667,ref4,0.66,0.106666667,0.161616162
gpt52T,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,150,25,0.833333333,210,60,0.714285714,240,60,0.75,0.752380952,ref4,0.95,-0.197619048,-0.20802005
gpt52T,7,財務・経理系,0.45,0.35,0.2,180,30,0.833333333,240,70,0.708333333,210,60,0.714285714,0.735714286,ref4,0.8,-0.064285714,-0.080357143
gpt52T,7.2,財務・経理系,0.21,0.43,0.36,180,30,0.833333333,240,70,0.708333333,210,60,0.714285714,0.735714286,ref4,0.8,-0.064285714,-0.080357143
gpt52T,8,カスタマーサポート系,0.4,0.45,0.15,15,3,0.8,10,2,0.8,10,2,0.8,0.8,ref4,0.56,0.24,0.428571429
gpt52T,8.2,カスタマーサポート系,0.22,0.44,0.35,20,3,0.85,180,50,0.722222222,120,35,0.708333333,0.742222222,ref4,0.56,0.182222222,0.325396825
sonnet46,1,経営コンサルタント,0.2,0.4,0.4,4,0.5,0.875,12,2,0.833333333,15,3,0.8,0.828333333,ref4,0.835,-0.006666667,-0.007984032
sonnet46,2,事業企画（企画職）,0.15,0.35,0.5,3.5,0.416666667,0.880952381,10,1.5,0.85,12,2.5,0.791666667,0.832857143,ref4,0.8,0.032857143,0.041071429
sonnet46,2.2,マーケティング担当,0.25,0.2,0.55,3,0.333,0.889,8,1.5,0.8125,8,2,0.75,0.8028,ref4,0.87,-0.0672,-0.077241379
sonnet46,3,プロジェクトマネージャー,0.1,0.6,0.3,3,0.333,0.889,16,3,0.8125,10,2,0.8,0.8228,ref4,0.85,-0.0272,-0.032
sonnet46,4,編集者／ライター,0.6,0.2,0.2,3.5,0.333,0.904857143,6,1,0.833333333,6,1.5,0.75,0.814304762,ref4,0.91,-0.095695238,-0.105159602
sonnet46,5,営業アシスタント／秘書,0.3,0.5,0.2,2,0.166666667,0.916666667,4,0.666666667,0.833333333,5,1,0.8,0.836666667,ref4,0.66,0.176666667,0.267676768
sonnet46,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,3,0.333333333,0.888888889,10,1.5,0.85,12,2.5,0.791666667,0.834444444,ref4,0.95,-0.115555556,-0.121637427
sonnet46,7,財務・経理系,0.45,0.35,0.2,3,0.333333333,0.888888889,2.5,0.25,0.9,1.5,0.75,0.5,0.737777778,ref4,0.8,-0.062222222,-0.077777778
sonnet46,7.2,財務・経理系,0.21,0.43,0.36,4.5,0.583333333,0.87037037,14,2.5,0.821428571,10,2,0.8,0.822645503,ref4,0.8,0.022645503,0.028306878
sonnet46,8,カスタマーサポート系,0.4,0.45,0.15,15,5,0.666666667,12,4,0.666666667,1,0.333,0.667,0.6668,ref4,0.56,0.1068,0.190714286
sonnet46,8.2,カスタマーサポート系,0.22,0.44,0.35,2.5,0.333,0.8668,8,1.5,0.8125,8,1.5,0.8125,0.82336,ref4,0.56,0.26336,0.470285714
sonnet46T,1,経営コンサルタント,0.2,0.4,0.4,4.5,0.366666667,0.918518519,12,1.5,0.875,20,3,0.85,0.873703704,ref4,0.835,0.038703704,0.046351741
sonnet46T,2,事業企画（企画職）,0.15,0.35,0.5,4,0.333,0.91675,10,1.5,0.85,16,2.5,0.84375,0.86085,ref4,0.8,0.06085,0.0760625
sonnet46T,2.2,マーケティング担当,0.25,0.2,0.55,3,0.25,0.916666667,8,1,0.875,12,2,0.833333333,0.866666667,ref4,0.87,-0.003333333,-0.003831418
