model,occupation_id,occupation_name,task_weight_summary,task_weight_instruction,task_weight_presentation,est_human_time_summary,est_ai_time_summary,est_reduction_summary2,est_human_time_instruction,est_ai_time_instruction,est_reduction_instruction2,est_human_time_presentation,est_ai_time_presentation,est_reduction_presentation2,est_reduction_timeweighted2,label_source,true_reduction,ae2,re2
gpt52P,5,営業アシスタント／秘書,0.6,0.8,0.5,4,1.5,0.375,10,5,0.4,8,4,0.25,0.335,BM,0.5735,-0.2385,-0.41586748
gpt52P,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,6,2,0.333333333,18,10,0.266666667,16,8,0.45,0.353333333,BM,0.665,-0.311666667,-0.468671679
gpt52P,7,財務・経理系,0.9,1,0.95,6,2.5,0.525,6,3,0.5,3,1.5,0.475,0.495,BM,0.8,-0.305,-0.38125
gpt52P,7.2,財務・経理系,0.82,0.92,0.88,8,3,0.5125,18,10,0.408888889,14,7,0.44,0.442055556,BM,0.61635,-0.174294444,-0.282784853
gpt52P,8,カスタマーサポート系,1,0.95,0.8,12,7,0.416666667,10,4,0.57,6,3,0.4,0.471333333,BM,0.68,-0.208666667,-0.306862745
gpt52P,8.2,カスタマーサポート系,0.72,0.9,0.84,7,3,0.411428571,16,8,0.45,12,6,0.42,0.430285714,BM,0.498415,-0.068129286,-0.136691885
gpt52I,1,経営コンサルタント,0.7,0.9,0.9,120,15,0.6125,180,40,0.7,240,60,0.675,0.6725,BM,0.542333333,0.130166667,0.240012293
gpt52I,2,事業企画（企画職）,0.6,0.8,0.9,150,20,0.52,180,45,0.6,240,60,0.675,0.614,BM,0.519833333,0.094166667,0.181147804
gpt52I,2.2,マーケティング担当,0.7,0.6,0.8,120,20,0.583333333,150,40,0.44,180,50,0.577777778,0.523777778,BM,0.547333333,-0.023555556,-0.043036947
gpt52I,3,プロジェクトマネージャー,0.5,0.9,0.7,120,20,0.416666667,210,60,0.642857143,180,50,0.505555556,0.542698413,BM,0.546666667,-0.003968254,-0.007259001
gpt52I,4,編集者／ライター,0.9,0.5,0.4,180,25,0.775,150,40,0.366666667,150,40,0.293333333,0.419,BM,0.612,-0.193,-0.315359477
gpt52I,5,営業アシスタント／秘書,0.6,0.8,0.5,90,15,0.5,120,30,0.6,120,30,0.375,0.49,BM,0.5735,-0.0835,-0.14559721
gpt52I,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,150,25,0.416666667,210,60,0.428571429,240,60,0.675,0.524761905,BM,0.665,-0.140238095,-0.210884354
gpt52I,7,財務・経理系,0.9,1,0.95,180,30,0.75,240,70,0.708333333,210,60,0.678571429,0.704761905,BM,0.8,-0.095238095,-0.119047619
gpt52I,7.2,財務・経理系,0.82,0.92,0.88,3,0.3,0.738,4,0.5,0.805,5,1,0.704,0.7512,BM,0.61635,0.13485,0.218788026
gpt52I,8,カスタマーサポート系,1,0.95,0.8,15,3,0.8,10,2,0.76,10,2,0.64,0.72,BM,0.68,0.04,0.058823529
gpt52I,8.2,カスタマーサポート系,0.72,0.9,0.84,20,3,0.612,180,50,0.65,120,35,0.595,0.6204,BM,0.498415,0.121985,0.244745844
gpt52T,1,経営コンサルタント,0.7,0.9,0.9,120,15,0.6125,180,40,0.7,240,60,0.675,0.6725,BM,0.542333333,0.130166667,0.240012293
gpt52T,2,事業企画（企画職）,0.6,0.8,0.9,150,20,0.52,180,45,0.6,240,60,0.675,0.614,BM,0.519833333,0.094166667,0.181147804
gpt52T,2.2,マーケティング担当,0.7,0.6,0.8,120,20,0.583333333,150,40,0.44,180,50,0.577777778,0.523777778,BM,0.547333333,-0.023555556,-0.043036947
gpt52T,3,プロジェクトマネージャー,0.5,0.9,0.7,120,20,0.416666667,210,60,0.642857143,180,50,0.505555556,0.542698413,BM,0.546666667,-0.003968254,-0.007259001
gpt52T,4,編集者／ライター,0.9,0.5,0.4,180,25,0.775,150,40,0.366666667,150,40,0.293333333,0.419,BM,0.612,-0.193,-0.315359477
gpt52T,5,営業アシスタント／秘書,0.6,0.8,0.5,90,15,0.5,120,30,0.6,120,30,0.375,0.49,BM,0.5735,-0.0835,-0.14559721
gpt52T,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,150,25,0.416666667,210,60,0.428571429,240,60,0.675,0.524761905,BM,0.665,-0.140238095,-0.210884354
gpt52T,7,財務・経理系,0.9,1,0.95,180,30,0.75,240,70,0.708333333,210,60,0.678571429,0.704761905,BM,0.8,-0.095238095,-0.119047619
gpt52T,7.2,財務・経理系,0.82,0.92,0.88,180,30,0.683333333,240,70,0.651666667,210,60,0.628571429,0.648761905,BM,0.61635,0.032411905,0.05258685
gpt52T,8,カスタマーサポート系,1,0.95,0.8,15,3,0.8,10,2,0.76,10,2,0.64,0.72,BM,0.68,0.04,0.058823529
gpt52T,8.2,カスタマーサポート系,0.72,0.9,0.84,20,3,0.612,180,50,0.65,120,35,0.595,0.6204,BM,0.498415,0.121985,0.244745844
sonnet46,1,経営コンサルタント,0.7,0.9,0.9,4,0.5,0.6125,12,2,0.75,15,3,0.72,0.7105,BM,0.542333333,0.168166667,0.310079902
sonnet46,2,事業企画（企画職）,0.6,0.8,0.9,3.5,0.416666667,0.528571429,10,1.5,0.68,12,2.5,0.7125,0.662714286,BM,0.519833333,0.142880952,0.274859158
sonnet46,2.2,マーケティング担当,0.7,0.6,0.8,3,0.333,0.6223,8,1.5,0.4875,8,2,0.6,0.55946,BM,0.547333333,0.012126667,0.022155907
sonnet46,3,プロジェクトマネージャー,0.5,0.9,0.7,3,0.333,0.4445,16,3,0.73125,10,2,0.56,0.6054,BM,0.546666667,0.058733333,0.107439024
sonnet46,4,編集者／ライター,0.9,0.5,0.4,3.5,0.333,0.814371429,6,1,0.416666667,6,1.5,0.3,0.449540952,BM,0.612,-0.162459048,-0.26545596
sonnet46,5,営業アシスタント／秘書,0.6,0.8,0.5,2,0.166666667,0.55,4,0.666666667,0.666666667,5,1,0.4,0.536666667,BM,0.5735,-0.036833333,-0.064225516
sonnet46,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,3,0.333333333,0.444444444,10,1.5,0.51,12,2.5,0.7125,0.577888889,BM,0.665,-0.087111111,-0.130994152
sonnet46,7,財務・経理系,0.9,1,0.95,3,0.333333333,0.8,2.5,0.25,0.9,1.5,0.75,0.475,0.71,BM,0.8,-0.09,-0.1125
sonnet46,7.2,財務・経理系,0.82,0.92,0.88,4.5,0.583333333,0.713703704,14,2.5,0.755714286,10,2,0.704,0.726626455,BM,0.61635,0.110276455,0.178918561
sonnet46,8,カスタマーサポート系,1,0.95,0.8,15,5,0.666666667,12,4,0.633333333,1,0.333,0.5336,0.600106667,BM,0.68,-0.079893333,-0.117490196
sonnet46,8.2,カスタマーサポート系,0.72,0.9,0.84,2.5,0.333,0.624096,8,1.5,0.73125,8,1.5,0.6825,0.6903192,BM,0.498415,0.1919042,0.385028942
sonnet46T,1,経営コンサルタント,0.7,0.9,0.9,4.5,0.366666667,0.642962963,12,1.5,0.7875,20,3,0.765,0.749592593,BM,0.542333333,0.207259259,0.382162125
sonnet46T,2,事業企画（企画職）,0.6,0.8,0.9,4,0.333,0.55005,10,1.5,0.68,16,2.5,0.759375,0.68576,BM,0.519833333,0.165926667,0.319192049
sonnet46T,2.2,マーケティング担当,0.7,0.6,0.8,3,0.25,0.641666667,8,1,0.525,12,2,0.666666667,0.605,BM,0.547333333,0.057666667,0.105359318
sonnet46T,3,プロジェクトマネージャー,0.5,0.9,0.7,4,0.333,0.458375,16,2,0.7875,14,2,0.6,0.646675,BM,0.546666667,0.100008333,0.182942073
sonnet46T,4,編集者／ライター,0.9,0.5,0.4,4,0.333,0.825075,7,0.75,0.446428571,8,1.5,0.325,0.473586429,BM,0.612,-0.138413571,-0.226165966
sonnet46T,5,営業アシスタント／秘書,0.6,0.8,0.5,2.5,0.166666667,0.56,6,0.75,0.7,8,1.5,0.40625,0.5545,BM,0.5735,-0.019,-0.033129904
sonnet46T,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,3.5,0.25,0.464285714,10,1.5,0.51,12,2,0.75,0.596857143,BM,0.665,-0.068142857,-0.102470462
sonnet46T,7,財務・経理系,0.9,1,0.95,3,0.25,0.825,40,0.333,0.991675,3,1,0.633333333,0.815003333,BM,0.8,0.015003333,0.018754167
sonnet46T,7.2,財務・経理系,0.82,0.92,0.88,5,0.416666667,0.751666667,14,2,0.788571429,12,2.5,0.696666667,0.744428571,BM,0.61635,0.128078571,0.20780169
sonnet46T,8,カスタマーサポート系,1,0.95,0.8,20,5,0.75,15,4,0.696666667,30,8,0.586666667,0.663333333,BM,0.68,-0.016666667,-0.024509804
sonnet46T,8.2,カスタマーサポート系,0.72,0.9,0.84,4,0.333,0.66006,12,1.5,0.7875,10,2,0.672,0.715812,BM,0.498415,0.217397,0.43617668
opus46,1,経営コンサルタント,0.7,0.9,0.9,4,0.75,0.56875,7,2,0.642857143,10,3,0.63,0.622892857,BM,0.542333333,0.080559524,0.148542453
opus46,2,事業企画（企画職）,0.6,0.8,0.9,3.5,0.667,0.485657143,6,1.5,0.6,8,2.5,0.61875,0.584631429,BM,0.519833333,0.064798095,0.124651674
opus46,2.2,マーケティング担当,0.7,0.6,0.8,3,0.583333333,0.563888889,5,1.5,0.42,6,2,0.533333333,0.494111111,BM,0.547333333,-0.053222222,-0.097239139
opus46,3,プロジェクトマネージャー,0.5,0.9,0.7,3.5,0.667,0.404714286,8,2.5,0.61875,6,2,0.466666667,0.515109524,BM,0.546666667,-0.031557143,-0.057726481
opus46,4,編集者／ライター,0.9,0.5,0.4,4,0.75,0.73125,5,1.5,0.35,4.5,1.5,0.266666667,0.392916667,BM,0.612,-0.219083333,-0.357979303
opus46,5,営業アシスタント／秘書,0.6,0.8,0.5,2,0.416666667,0.475,3.5,0.833333333,0.60952381,4,1,0.375,0.488809524,BM,0.5735,-0.084690476,-0.147673019
opus46,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,3.5,0.667,0.404714286,6,2,0.4,8,2.5,0.61875,0.488442857,BM,0.665,-0.176557143,-0.265499463
opus46,7,財務・経理系,0.9,1,0.95,3,0.5,0.75,4,1,0.75,9,3,0.633333333,0.703333333,BM,0.8,-0.096666667,-0.120833333
opus46,7.2,財務・経理系,0.82,0.92,0.88,4,1,0.615,7,2.5,0.591428571,8,2.5,0.605,0.601571429,BM,0.61635,-0.014778571,-0.023977564
opus46,8,カスタマーサポート系,1,0.95,0.8,15,5,0.666666667,12,4,0.633333333,1,0.25,0.6,0.626666667,BM,0.68,-0.053333333,-0.078431373
opus46,8.2,カスタマーサポート系,0.72,0.9,0.84,45,12,0.528,8,2.5,0.61875,6,2,0.56,0.5771,BM,0.498415,0.078685,0.157870449
opus46T,1,経営コンサルタント,0.7,0.9,0.9,4,0.5,0.6125,8,2,0.675,10,3,0.63,0.6445,BM,0.542333333,0.102166667,0.188383528
opus46T,2,事業企画（企画職）,0.6,0.8,0.9,3.5,0.416666667,0.528571429,7,1.5,0.628571429,9,2.5,0.65,0.617142857,BM,0.519833333,0.097309524,0.187193698
opus46T,2.2,マーケティング担当,0.7,0.6,0.8,2.5,0.333,0.60676,5,1,0.48,6,1.5,0.6,0.553352,BM,0.547333333,0.006018667,0.010996346
opus46T,3,プロジェクトマネージャー,0.5,0.9,0.7,3.5,0.416666667,0.44047619,12,3,0.675,7,2,0.5,0.558095238,BM,0.546666667,0.011428571,0.020905923
opus46T,4,編集者／ライター,0.9,0.5,0.4,4,0.5,0.7875,5,1,0.4,5,1.5,0.28,0.4295,BM,0.612,-0.1825,-0.298202614
opus46T,5,営業アシスタント／秘書,0.6,0.8,0.5,2,0.25,0.525,3.5,0.667,0.647542857,4,1,0.375,0.514017143,BM,0.5735,-0.059482857,-0.103719019
opus46T,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,3.5,0.5,0.428571429,8,2,0.45,10,3,0.63,0.517714286,BM,0.665,-0.147285714,-0.221482277
opus46T,7,財務・経理系,0.9,1,0.95,3,0.5,0.75,5,1,0.8,8,3,0.59375,0.7075,BM,0.8,-0.0925,-0.115625
opus46T,7.2,財務・経理系,0.82,0.92,0.88,5,1.5,0.574,10,2.5,0.69,8,2.5,0.605,0.6328,BM,0.61635,0.01645,0.026689381
opus46T,8,カスタマーサポート系,1,0.95,0.8,10,4,0.6,8,3,0.59375,3,1,0.533333333,0.570833333,BM,0.68,-0.109166667,-0.160539216
opus46T,8.2,カスタマーサポート系,0.72,0.9,0.84,3,0.5,0.6,8,2,0.675,7,2,0.6,0.63,BM,0.498415,0.131585,0.264006902
haiku45,1,経営コンサルタント,0.7,0.9,0.9,5,0.3,0.658,8,0.633333333,0.82875,6.5,0.5,0.830769231,0.795407692,BM,0.542333333,0.253074359,0.466639875
haiku45,2,事業企画（企画職）,0.6,0.8,0.9,5,0.3,0.564,8.5,0.7,0.734117647,6.5,0.55,0.823846154,0.73598552,BM,0.519833333,0.216152187,0.415810555
haiku45,2.2,マーケティング担当,0.7,0.6,0.8,4.25,0.25,0.658823529,6.75,0.5,0.555555556,5.75,0.45,0.737391304,0.64894345,BM,0.547333333,0.101610117,0.185645767
haiku45,3,プロジェクトマネージャー,0.5,0.9,0.7,4.25,0.283333333,0.466666667,10,0.916666667,0.8175,6.5,0.566666667,0.638974359,0.675923077,BM,0.546666667,0.12925641,0.236444653
haiku45,4,編集者／ライター,0.9,0.5,0.4,5.5,0.316666667,0.848181818,7.5,0.666666667,0.455555556,5,0.483333333,0.361333333,0.496391919,BM,0.612,-0.115608081,-0.188902093
haiku45,5,営業アシスタント／秘書,0.6,0.8,0.5,2.75,0.166666667,0.563636364,5,0.416666667,0.733333333,4.5,0.333333333,0.462962963,0.591245791,BM,0.5735,0.017745791,0.030942966
haiku45,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,5,0.3,0.47,10,0.833333333,0.55,7.5,0.6,0.828,0.6452,BM,0.665,-0.0198,-0.029774436
haiku45,7,財務・経理系,0.9,1,0.95,4.5,0.166666667,0.866666667,5.25,0.416666667,0.920634921,2.75,0.108333333,0.912575758,0.906617605,BM,0.8,0.106617605,0.133272006
haiku45,7.2,財務・経理系,0.82,0.92,0.88,6.25,0.366666667,0.771893333,10,0.916666667,0.835666667,7.5,0.666666667,0.801777778,0.809356444,BM,0.61635,0.193006444,0.313144227
haiku45,8,カスタマーサポート系,1,0.95,0.8,2.25,0.075,0.966666667,2.75,0.125,0.906818182,1,0.05,0.76,0.860060606,BM,0.68,0.180060606,0.264795009
haiku45,8.2,カスタマーサポート系,0.72,0.9,0.84,5.5,0.366666667,0.672,8.5,0.8,0.815294118,6.75,0.65,0.759111111,0.764162092,BM,0.498415,0.265747092,0.533184377
gpt51T,1,経営コンサルタント,0.7,0.9,0.9,8,2,0.525,10,4,0.54,16,8,0.45,0.501,ref4,0.835,-0.334,-0.4
gpt51T,2,事業企画（企画職）,0.6,0.8,0.9,6,1.5,0.45,8,3,0.5,12,6,0.45,0.47,ref4,0.8,-0.33,-0.4125
gpt51T,2.2,マーケティング担当,0.7,0.6,0.8,6,1.5,0.525,8,2.5,0.4125,11,3.5,0.545454545,0.488181818,ref4,0.87,-0.381818182,-0.438871473
gpt51T,3,プロジェクトマネージャー,0.5,0.9,0.7,6,1.5,0.375,14,6,0.514285714,10,5,0.35,0.420714286,ref4,0.85,-0.429285714,-0.505042017
gpt51T,4,編集者／ライター,0.9,0.5,0.4,7,2,0.642857143,9,3.5,0.305555556,8,4,0.2,0.330793651,ref4,0.91,-0.579206349,-0.636490494
gpt51T,5,営業アシスタント／秘書,0.6,0.8,0.5,4,1,0.45,7,2.5,0.514285714,9,4.5,0.25,0.395714286,ref4,0.66,-0.264285714,-0.4004329
gpt51T,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,7,2,0.357142857,12,5,0.35,14,7,0.45,0.391428571,ref4,0.95,-0.558571429,-0.587969925
gpt51T,7,財務・経理系,0.9,1,0.95,6,2,0.6,12,5,0.583333333,10,5,0.475,0.543333333,ref4,0.8,-0.256666667,-0.320833333
gpt51T,7.2,財務・経理系,0.82,0.92,0.88,6,2,0.546666667,12,5,0.536666667,10,5,0.44,0.5,ref4,0.8,-0.3,-0.375
gpt51T,8,カスタマーサポート系,1,0.95,0.8,30,12,0.6,25,10,0.57,20,6,0.56,0.572,ref4,0.56,0.012,0.021428571
gpt51T,8.2,カスタマーサポート系,0.72,0.9,0.84,5,1.5,0.504,10,4,0.54,8,3.5,0.4725,0.5058,ref4,0.56,-0.0542,-0.096785714
gpt52P,1,経営コンサルタント,0.7,0.9,0.9,7,2,0.5,20,11,0.405,14,7,0.45,0.442,ref4,0.835,-0.393,-0.470658683
gpt52P,2,事業企画（企画職）,0.6,0.8,0.9,6,2,0.4,18,10,0.355555556,12,6,0.45,0.402222222,ref4,0.8,-0.397777778,-0.497222222
gpt52P,2.2,マーケティング担当,0.7,0.6,0.8,5,1.5,0.49,14,8,0.257142857,10,5,0.4,0.360857143,ref4,0.87,-0.509142857,-0.585221675
gpt52P,3,プロジェクトマネージャー,0.5,0.9,0.7,6,2,0.333333333,22,12,0.409090909,10,5,0.35,0.37030303,ref4,0.85,-0.47969697,-0.564349376
gpt52P,4,編集者／ライター,0.9,0.5,0.4,6,2,0.6,14,8,0.214285714,10,5,0.2,0.285714286,ref4,0.91,-0.624285714,-0.686028257
gpt52P,5,営業アシスタント／秘書,0.6,0.8,0.5,4,1.5,0.375,10,5,0.4,8,4,0.25,0.335,ref4,0.66,-0.325,-0.492424242
gpt52P,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,6,2,0.333333333,18,10,0.266666667,16,8,0.45,0.353333333,ref4,0.95,-0.596666667,-0.628070175
gpt52P,7,財務・経理系,0.9,1,0.95,6,2.5,0.525,6,3,0.5,3,1.5,0.475,0.495,ref4,0.8,-0.305,-0.38125
gpt52P,7.2,財務・経理系,0.82,0.92,0.88,8,3,0.5125,18,10,0.408888889,14,7,0.44,0.442055556,ref4,0.8,-0.357944444,-0.447430556
gpt52P,8,カスタマーサポート系,1,0.95,0.8,12,7,0.416666667,10,4,0.57,6,3,0.4,0.471333333,ref4,0.56,-0.088666667,-0.158333333
gpt52P,8.2,カスタマーサポート系,0.72,0.9,0.84,7,3,0.411428571,16,8,0.45,12,6,0.42,0.430285714,ref4,0.56,-0.129714286,-0.231632653
gpt52I,1,経営コンサルタント,0.7,0.9,0.9,120,15,0.6125,180,40,0.7,240,60,0.675,0.6725,ref4,0.835,-0.1625,-0.194610778
gpt52I,2,事業企画（企画職）,0.6,0.8,0.9,150,20,0.52,180,45,0.6,240,60,0.675,0.614,ref4,0.8,-0.186,-0.2325
gpt52I,2.2,マーケティング担当,0.7,0.6,0.8,120,20,0.583333333,150,40,0.44,180,50,0.577777778,0.523777778,ref4,0.87,-0.346222222,-0.397956577
gpt52I,3,プロジェクトマネージャー,0.5,0.9,0.7,120,20,0.416666667,210,60,0.642857143,180,50,0.505555556,0.542698413,ref4,0.85,-0.307301587,-0.361531279
gpt52I,4,編集者／ライター,0.9,0.5,0.4,180,25,0.775,150,40,0.366666667,150,40,0.293333333,0.419,ref4,0.91,-0.491,-0.53956044
gpt52I,5,営業アシスタント／秘書,0.6,0.8,0.5,90,15,0.5,120,30,0.6,120,30,0.375,0.49,ref4,0.66,-0.17,-0.257575758
gpt52I,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,150,25,0.416666667,210,60,0.428571429,240,60,0.675,0.524761905,ref4,0.95,-0.425238095,-0.447619048
gpt52I,7,財務・経理系,0.9,1,0.95,180,30,0.75,240,70,0.708333333,210,60,0.678571429,0.704761905,ref4,0.8,-0.095238095,-0.119047619
gpt52I,7.2,財務・経理系,0.82,0.92,0.88,3,0.3,0.738,4,0.5,0.805,5,1,0.704,0.7512,ref4,0.8,-0.0488,-0.061
gpt52I,8,カスタマーサポート系,1,0.95,0.8,15,3,0.8,10,2,0.76,10,2,0.64,0.72,ref4,0.56,0.16,0.285714286
gpt52I,8.2,カスタマーサポート系,0.72,0.9,0.84,20,3,0.612,180,50,0.65,120,35,0.595,0.6204,ref4,0.56,0.0604,0.107857143
gpt52T,1,経営コンサルタント,0.7,0.9,0.9,120,15,0.6125,180,40,0.7,240,60,0.675,0.6725,ref4,0.835,-0.1625,-0.194610778
gpt52T,2,事業企画（企画職）,0.6,0.8,0.9,150,20,0.52,180,45,0.6,240,60,0.675,0.614,ref4,0.8,-0.186,-0.2325
gpt52T,2.2,マーケティング担当,0.7,0.6,0.8,120,20,0.583333333,150,40,0.44,180,50,0.577777778,0.523777778,ref4,0.87,-0.346222222,-0.397956577
gpt52T,3,プロジェクトマネージャー,0.5,0.9,0.7,120,20,0.416666667,210,60,0.642857143,180,50,0.505555556,0.542698413,ref4,0.85,-0.307301587,-0.361531279
gpt52T,4,編集者／ライター,0.9,0.5,0.4,180,25,0.775,150,40,0.366666667,150,40,0.293333333,0.419,ref4,0.91,-0.491,-0.53956044
gpt52T,5,営業アシスタント／秘書,0.6,0.8,0.5,90,15,0.5,120,30,0.6,120,30,0.375,0.49,ref4,0.66,-0.17,-0.257575758
gpt52T,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,150,25,0.416666667,210,60,0.428571429,240,60,0.675,0.524761905,ref4,0.95,-0.425238095,-0.447619048
gpt52T,7,財務・経理系,0.9,1,0.95,180,30,0.75,240,70,0.708333333,210,60,0.678571429,0.704761905,ref4,0.8,-0.095238095,-0.119047619
gpt52T,7.2,財務・経理系,0.82,0.92,0.88,180,30,0.683333333,240,70,0.651666667,210,60,0.628571429,0.648761905,ref4,0.8,-0.151238095,-0.189047619
gpt52T,8,カスタマーサポート系,1,0.95,0.8,15,3,0.8,10,2,0.76,10,2,0.64,0.72,ref4,0.56,0.16,0.285714286
gpt52T,8.2,カスタマーサポート系,0.72,0.9,0.84,20,3,0.612,180,50,0.65,120,35,0.595,0.6204,ref4,0.56,0.0604,0.107857143
sonnet46,1,経営コンサルタント,0.7,0.9,0.9,4,0.5,0.6125,12,2,0.75,15,3,0.72,0.7105,ref4,0.835,-0.1245,-0.149101796
sonnet46,2,事業企画（企画職）,0.6,0.8,0.9,3.5,0.416666667,0.528571429,10,1.5,0.68,12,2.5,0.7125,0.662714286,ref4,0.8,-0.137285714,-0.171607143
sonnet46,2.2,マーケティング担当,0.7,0.6,0.8,3,0.333,0.6223,8,1.5,0.4875,8,2,0.6,0.55946,ref4,0.87,-0.31054,-0.356942529
sonnet46,3,プロジェクトマネージャー,0.5,0.9,0.7,3,0.333,0.4445,16,3,0.73125,10,2,0.56,0.6054,ref4,0.85,-0.2446,-0.287764706
sonnet46,4,編集者／ライター,0.9,0.5,0.4,3.5,0.333,0.814371429,6,1,0.416666667,6,1.5,0.3,0.449540952,ref4,0.91,-0.460459048,-0.505998953
sonnet46,5,営業アシスタント／秘書,0.6,0.8,0.5,2,0.166666667,0.55,4,0.666666667,0.666666667,5,1,0.4,0.536666667,ref4,0.66,-0.123333333,-0.186868687
sonnet46,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,3,0.333333333,0.444444444,10,1.5,0.51,12,2.5,0.7125,0.577888889,ref4,0.95,-0.372111111,-0.391695906
sonnet46,7,財務・経理系,0.9,1,0.95,3,0.333333333,0.8,2.5,0.25,0.9,1.5,0.75,0.475,0.71,ref4,0.8,-0.09,-0.1125
sonnet46,7.2,財務・経理系,0.82,0.92,0.88,4.5,0.583333333,0.713703704,14,2.5,0.755714286,10,2,0.704,0.726626455,ref4,0.8,-0.073373545,-0.091716931
sonnet46,8,カスタマーサポート系,1,0.95,0.8,15,5,0.666666667,12,4,0.633333333,1,0.333,0.5336,0.600106667,ref4,0.56,0.040106667,0.071619048
sonnet46,8.2,カスタマーサポート系,0.72,0.9,0.84,2.5,0.333,0.624096,8,1.5,0.73125,8,1.5,0.6825,0.6903192,ref4,0.56,0.1303192,0.232712857
sonnet46T,1,経営コンサルタント,0.7,0.9,0.9,4.5,0.366666667,0.642962963,12,1.5,0.7875,20,3,0.765,0.749592593,ref4,0.835,-0.085407407,-0.10228432
sonnet46T,2,事業企画（企画職）,0.6,0.8,0.9,4,0.333,0.55005,10,1.5,0.68,16,2.5,0.759375,0.68576,ref4,0.8,-0.11424,-0.1428
sonnet46T,2.2,マーケティング担当,0.7,0.6,0.8,3,0.25,0.641666667,8,1,0.525,12,2,0.666666667,0.605,ref4,0.87,-0.265,-0.304597701
sonnet46T,3,プロジェクトマネージャー,0.5,0.9,0.7,4,0.333,0.458375,16,2,0.7875,14,2,0.6,0.646675,ref4,0.85,-0.203325,-0.239205882
